transformation,max_features_txt,ngram_range,data_type,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
tc,100,"(1, 1)",clean,1000,10,1,auto,20.0,False
tc,100,"(1, 1)",clean_steeming,500,7,1,auto,20.0,False
tc,100,"(1, 1)",clean_lemmatization,700,7,2,sqrt,,False
tc,100,"(1, 1)",clean_steeming_lemmatization,400,2,2,sqrt,60.0,True
tc,100,"(1, 2)",clean,700,7,2,sqrt,,False
tc,100,"(1, 2)",clean_steeming,200,2,1,auto,20.0,True
tc,100,"(1, 2)",clean_lemmatization,100,5,2,auto,60.0,False
tc,100,"(1, 2)",clean_steeming_lemmatization,100,5,1,sqrt,10.0,True
tc,100,"(1, 3)",clean,700,7,2,sqrt,,False
tc,100,"(1, 3)",clean_steeming,500,7,2,sqrt,10.0,False
tc,100,"(1, 3)",clean_lemmatization,200,5,2,auto,30.0,False
tc,100,"(1, 3)",clean_steeming_lemmatization,300,5,2,sqrt,50.0,False
tc,200,"(1, 1)",clean,900,10,1,sqrt,,True
tc,200,"(1, 1)",clean_steeming,1000,10,1,auto,20.0,False
tc,200,"(1, 1)",clean_lemmatization,500,7,1,auto,20.0,False
tc,200,"(1, 1)",clean_steeming_lemmatization,100,7,1,sqrt,40.0,True
tc,200,"(1, 2)",clean,700,7,2,sqrt,,False
tc,200,"(1, 2)",clean_steeming,600,5,1,auto,50.0,True
tc,200,"(1, 2)",clean_lemmatization,1000,10,1,auto,20.0,False
tc,200,"(1, 2)",clean_steeming_lemmatization,600,5,1,auto,50.0,True
tc,200,"(1, 3)",clean,600,5,1,auto,50.0,True
tc,200,"(1, 3)",clean_steeming,600,2,1,auto,80.0,True
tc,200,"(1, 3)",clean_lemmatization,200,7,1,sqrt,90.0,True
tc,200,"(1, 3)",clean_steeming_lemmatization,600,5,1,auto,50.0,True
tc,400,"(1, 1)",clean,600,2,1,sqrt,20.0,False
tc,400,"(1, 1)",clean_steeming,600,7,1,auto,40.0,False
tc,400,"(1, 1)",clean_lemmatization,200,5,1,auto,,False
tc,400,"(1, 1)",clean_steeming_lemmatization,500,7,1,auto,20.0,False
tc,400,"(1, 2)",clean,100,5,2,auto,60.0,False
tc,400,"(1, 2)",clean_steeming,800,10,1,auto,70.0,False
tc,400,"(1, 2)",clean_lemmatization,1000,10,1,auto,20.0,False
tc,400,"(1, 2)",clean_steeming_lemmatization,1000,10,1,auto,20.0,False
tc,400,"(1, 3)",clean,1000,10,1,auto,20.0,False
tc,400,"(1, 3)",clean_steeming,500,7,1,auto,20.0,False
tc,400,"(1, 3)",clean_lemmatization,600,7,1,auto,40.0,False
tc,400,"(1, 3)",clean_steeming_lemmatization,200,10,1,sqrt,,False
tc,500,"(1, 1)",clean,200,10,1,sqrt,,False
tc,500,"(1, 1)",clean_steeming,200,5,1,auto,,False
tc,500,"(1, 1)",clean_lemmatization,600,7,1,auto,40.0,False
tc,500,"(1, 1)",clean_steeming_lemmatization,1000,10,1,auto,20.0,False
tc,500,"(1, 2)",clean,200,10,1,sqrt,,False
tc,500,"(1, 2)",clean_steeming,200,5,1,auto,,False
tc,500,"(1, 2)",clean_lemmatization,500,7,1,auto,20.0,False
tc,500,"(1, 2)",clean_steeming_lemmatization,600,2,1,sqrt,20.0,False
tc,500,"(1, 3)",clean,500,7,1,auto,20.0,False
tc,500,"(1, 3)",clean_steeming,200,10,1,sqrt,,False
