algorithm,transformation,max_features,ngram_range,data_type,mean_balanced_accuracy,mean_recall
NB,tc,100,"(1, 1)",clean,0.82,0.96
SVMR,tc,100,"(1, 1)",clean,0.81,0.63
SVML,tc,100,"(1, 1)",clean,0.9,0.83
LR1,tc,100,"(1, 1)",clean,0.89,0.78
LR2,tc,100,"(1, 1)",clean,0.89,0.79
RF,tc,100,"(1, 1)",clean,0.94,0.91
XGB,tc,100,"(1, 1)",clean,0.89,0.79
NB,tc,100,"(1, 1)",clean_steeming,0.83,0.96
SVMR,tc,100,"(1, 1)",clean_steeming,0.84,0.69
SVML,tc,100,"(1, 1)",clean_steeming,0.9,0.82
LR1,tc,100,"(1, 1)",clean_steeming,0.91,0.82
LR2,tc,100,"(1, 1)",clean_steeming,0.9,0.81
RF,tc,100,"(1, 1)",clean_steeming,0.94,0.91
XGB,tc,100,"(1, 1)",clean_steeming,0.9,0.82
NB,tc,100,"(1, 1)",clean_lemmatization,0.82,0.95
SVMR,tc,100,"(1, 1)",clean_lemmatization,0.82,0.65
SVML,tc,100,"(1, 1)",clean_lemmatization,0.91,0.85
LR1,tc,100,"(1, 1)",clean_lemmatization,0.89,0.79
LR2,tc,100,"(1, 1)",clean_lemmatization,0.9,0.81
RF,tc,100,"(1, 1)",clean_lemmatization,0.94,0.9
XGB,tc,100,"(1, 1)",clean_lemmatization,0.9,0.82
NB,tc,100,"(1, 1)",clean_steeming_lemmatization,0.83,0.96
SVMR,tc,100,"(1, 1)",clean_steeming_lemmatization,0.85,0.71
SVML,tc,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.82
LR1,tc,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.81
LR2,tc,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.81
RF,tc,100,"(1, 1)",clean_steeming_lemmatization,0.95,0.91
XGB,tc,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.82
NB,tc,100,"(1, 2)",clean,0.8,0.95
SVMR,tc,100,"(1, 2)",clean,0.81,0.63
SVML,tc,100,"(1, 2)",clean,0.9,0.82
LR1,tc,100,"(1, 2)",clean,0.89,0.78
LR2,tc,100,"(1, 2)",clean,0.89,0.79
RF,tc,100,"(1, 2)",clean,0.93,0.89
XGB,tc,100,"(1, 2)",clean,0.89,0.79
NB,tc,100,"(1, 2)",clean_steeming,0.83,0.97
SVMR,tc,100,"(1, 2)",clean_steeming,0.85,0.7
SVML,tc,100,"(1, 2)",clean_steeming,0.91,0.84
LR1,tc,100,"(1, 2)",clean_steeming,0.91,0.82
LR2,tc,100,"(1, 2)",clean_steeming,0.9,0.82
RF,tc,100,"(1, 2)",clean_steeming,0.95,0.92
XGB,tc,100,"(1, 2)",clean_steeming,0.9,0.82
NB,tc,100,"(1, 2)",clean_lemmatization,0.82,0.96
SVMR,tc,100,"(1, 2)",clean_lemmatization,0.82,0.65
SVML,tc,100,"(1, 2)",clean_lemmatization,0.91,0.84
LR1,tc,100,"(1, 2)",clean_lemmatization,0.89,0.79
LR2,tc,100,"(1, 2)",clean_lemmatization,0.9,0.81
RF,tc,100,"(1, 2)",clean_lemmatization,0.95,0.92
XGB,tc,100,"(1, 2)",clean_lemmatization,0.9,0.82
NB,tc,100,"(1, 2)",clean_steeming_lemmatization,0.82,0.96
SVMR,tc,100,"(1, 2)",clean_steeming_lemmatization,0.85,0.71
SVML,tc,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.82
LR1,tc,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.81
LR2,tc,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.81
RF,tc,100,"(1, 2)",clean_steeming_lemmatization,0.94,0.91
XGB,tc,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.82
NB,tc,100,"(1, 3)",clean,0.81,0.96
SVMR,tc,100,"(1, 3)",clean,0.8,0.62
SVML,tc,100,"(1, 3)",clean,0.91,0.84
LR1,tc,100,"(1, 3)",clean,0.89,0.8
LR2,tc,100,"(1, 3)",clean,0.88,0.78
RF,tc,100,"(1, 3)",clean,0.93,0.88
XGB,tc,100,"(1, 3)",clean,0.89,0.79
NB,tc,100,"(1, 3)",clean_steeming,0.83,0.97
SVMR,tc,100,"(1, 3)",clean_steeming,0.84,0.69
SVML,tc,100,"(1, 3)",clean_steeming,0.9,0.82
LR1,tc,100,"(1, 3)",clean_steeming,0.91,0.82
LR2,tc,100,"(1, 3)",clean_steeming,0.9,0.81
RF,tc,100,"(1, 3)",clean_steeming,0.94,0.91
XGB,tc,100,"(1, 3)",clean_steeming,0.9,0.82
NB,tc,100,"(1, 3)",clean_lemmatization,0.82,0.96
SVMR,tc,100,"(1, 3)",clean_lemmatization,0.82,0.65
SVML,tc,100,"(1, 3)",clean_lemmatization,0.91,0.84
LR1,tc,100,"(1, 3)",clean_lemmatization,0.89,0.79
LR2,tc,100,"(1, 3)",clean_lemmatization,0.9,0.81
RF,tc,100,"(1, 3)",clean_lemmatization,0.95,0.92
XGB,tc,100,"(1, 3)",clean_lemmatization,0.9,0.82
NB,tc,100,"(1, 3)",clean_steeming_lemmatization,0.83,0.97
SVMR,tc,100,"(1, 3)",clean_steeming_lemmatization,0.85,0.71
SVML,tc,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.83
LR1,tc,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.81
LR2,tc,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.81
RF,tc,100,"(1, 3)",clean_steeming_lemmatization,0.95,0.92
XGB,tc,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.82
NB,tc,200,"(1, 1)",clean,0.87,0.94
SVMR,tc,200,"(1, 1)",clean,0.74,0.48
SVML,tc,200,"(1, 1)",clean,0.92,0.85
LR1,tc,200,"(1, 1)",clean,0.89,0.79
LR2,tc,200,"(1, 1)",clean,0.92,0.84
RF,tc,200,"(1, 1)",clean,0.94,0.91
XGB,tc,200,"(1, 1)",clean,0.89,0.79
NB,tc,200,"(1, 1)",clean_steeming,0.86,0.93
SVMR,tc,200,"(1, 1)",clean_steeming,0.81,0.63
SVML,tc,200,"(1, 1)",clean_steeming,0.94,0.89
LR1,tc,200,"(1, 1)",clean_steeming,0.9,0.81
LR2,tc,200,"(1, 1)",clean_steeming,0.92,0.85
RF,tc,200,"(1, 1)",clean_steeming,0.94,0.91
XGB,tc,200,"(1, 1)",clean_steeming,0.9,0.82
NB,tc,200,"(1, 1)",clean_lemmatization,0.87,0.93
SVMR,tc,200,"(1, 1)",clean_lemmatization,0.78,0.56
SVML,tc,200,"(1, 1)",clean_lemmatization,0.94,0.9
LR1,tc,200,"(1, 1)",clean_lemmatization,0.9,0.82
LR2,tc,200,"(1, 1)",clean_lemmatization,0.91,0.83
RF,tc,200,"(1, 1)",clean_lemmatization,0.95,0.92
XGB,tc,200,"(1, 1)",clean_lemmatization,0.9,0.82
NB,tc,200,"(1, 1)",clean_steeming_lemmatization,0.86,0.93
SVMR,tc,200,"(1, 1)",clean_steeming_lemmatization,0.81,0.62
SVML,tc,200,"(1, 1)",clean_steeming_lemmatization,0.94,0.89
LR1,tc,200,"(1, 1)",clean_steeming_lemmatization,0.9,0.81
LR2,tc,200,"(1, 1)",clean_steeming_lemmatization,0.92,0.86
RF,tc,200,"(1, 1)",clean_steeming_lemmatization,0.94,0.91
XGB,tc,200,"(1, 1)",clean_steeming_lemmatization,0.9,0.82
NB,tc,200,"(1, 2)",clean,0.86,0.93
SVMR,tc,200,"(1, 2)",clean,0.73,0.47
SVML,tc,200,"(1, 2)",clean,0.92,0.87
LR1,tc,200,"(1, 2)",clean,0.9,0.81
LR2,tc,200,"(1, 2)",clean,0.91,0.83
RF,tc,200,"(1, 2)",clean,0.94,0.91
XGB,tc,200,"(1, 2)",clean,0.89,0.79
NB,tc,200,"(1, 2)",clean_steeming,0.85,0.93
SVMR,tc,200,"(1, 2)",clean_steeming,0.81,0.63
SVML,tc,200,"(1, 2)",clean_steeming,0.94,0.89
LR1,tc,200,"(1, 2)",clean_steeming,0.9,0.81
LR2,tc,200,"(1, 2)",clean_steeming,0.92,0.86
RF,tc,200,"(1, 2)",clean_steeming,0.94,0.91
XGB,tc,200,"(1, 2)",clean_steeming,0.9,0.82
NB,tc,200,"(1, 2)",clean_lemmatization,0.87,0.93
SVMR,tc,200,"(1, 2)",clean_lemmatization,0.77,0.55
SVML,tc,200,"(1, 2)",clean_lemmatization,0.94,0.89
LR1,tc,200,"(1, 2)",clean_lemmatization,0.9,0.82
LR2,tc,200,"(1, 2)",clean_lemmatization,0.92,0.84
RF,tc,200,"(1, 2)",clean_lemmatization,0.95,0.93
XGB,tc,200,"(1, 2)",clean_lemmatization,0.9,0.82
NB,tc,200,"(1, 2)",clean_steeming_lemmatization,0.85,0.93
